Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
401,0.166696,0.0223665,0.0187904
402,0.166562,0.0220498,0.0198801
403,0.163703,0.0221944,0.0172787
404,0.167249,0.0225637,0.0194148
405,0.166398,0.0220605,0.017244
406,0.167174,0.0220933,0.0198336
407,0.167044,0.0220055,0.0180822
408,0.16686,0.021999,0.018817
409,0.16675,0.0220313,0.0186578
410,0.167468,0.0220372,0.0190347
411,0.196462,0.0220791,0.0189219
412,0.166335,0.0227772,0.0177029
413,0.172318,0.022108,0.0206372
414,0.170518,0.0221949,0.0201469
415,0.168354,0.0224186,0.0188431
416,0.167239,0.0222247,0.0175435
417,0.168084,0.0224467,0.0188344
418,0.167954,0.0223064,0.0182916
419,0.168159,0.0224189,0.0173031
420,0.168684,0.0224371,0.0173688
421,0.167296,0.0224522,0.0156109
422,0.168561,0.0222971,0.0161326
423,0.168642,0.0223858,0.0168003
424,0.167897,0.0224245,0.0176398
425,0.177413,0.0221784,0.018772
426,0.165698,0.022594,0.0187033
427,0.169138,0.0222083,0.0162936
428,0.16773,0.0222854,0.0194922
429,0.183787,0.0226851,0.0170193
430,0.168358,0.022475,0.0196407
431,0.167769,0.0224061,0.0198085
432,0.169347,0.0223595,0.0190726
433,0.168549,0.0223321,0.0194717
434,0.211128,0.0223896,0.0191435
435,0.190006,0.0221827,0.0197253
436,0.169232,0.0233016,0.0211865
437,0.17035,0.022837,0.019161
438,0.169634,0.022343,0.0202955
439,0.183762,0.0229883,0.018637
440,0.170631,0.0223642,0.0198305
441,0.168567,0.0222803,0.0215567
442,0.200474,0.0219824,0.0195239
443,0.166041,0.0222452,0.0188561
444,0.170138,0.0223631,0.0159023
445,0.165687,0.022526,0.0203793
446,0.168847,0.0221465,0.0157453
447,0.164693,0.02271,0.0197627
448,0.169131,0.022184,0.0175976
449,0.169509,0.0224743,0.0207397
450,0.164713,0.0226013,0.0219293
451,0.202242,0.0230314,0.0155853
452,0.165151,0.0223449,0.0182938
453,0.169775,0.0221213,0.017841
454,0.169261,0.022553,0.0201646
455,0.16815,0.0228303,0.0209847
456,0.204101,0.0222797,0.0203776
457,0.170245,0.0226192,0.0198844
458,0.164709,0.0228559,0.0182495
459,0.169005,0.022135,0.0151807
460,0.173645,0.0225847,0.018062
461,0.182586,0.0222365,0.0209375
462,0.169505,0.0220227,0.0181205
463,0.166674,0.0227692,0.0185962
464,0.169006,0.0220297,0.0161301
465,0.166016,0.0227339,0.0197942
466,0.167311,0.0222113,0.0160142
467,0.165338,0.0224789,0.0190644
468,0.168363,0.0222058,0.0173038
469,0.166146,0.0225049,0.0194028
470,0.168446,0.0220498,0.0159634
471,0.169687,0.0224271,0.0197856
472,0.167511,0.0224026,0.0188077
473,0.165015,0.0224547,0.0173499
474,0.16887,0.022149,0.0161776
475,0.164814,0.0228064,0.0173452
476,0.16495,0.0221953,0.0190902
477,0.168928,0.0222269,0.022954
478,0.165034,0.0231097,0.018784
479,0.169208,0.022223,0.0166812
480,0.165488,0.0228839,0.0182423
481,0.168786,0.0221241,0.0171207
482,0.170799,0.0222393,0.0185268
483,0.170184,0.0230214,0.0196546
484,0.164423,0.0224897,0.019154
485,0.202536,0.0222431,0.0202518
486,0.166892,0.0226303,0.0175182
487,0.177135,0.0224562,0.0171831
488,0.165775,0.0220867,0.0191975
489,0.172029,0.0222251,0.0171537
490,0.173134,0.0226537,0.0187204
491,0.199059,0.0221868,0.0182838
492,0.167519,0.0221853,0.0171885
493,0.164048,0.022121,0.0195065
494,0.167206,0.0220668,0.0194765
495,0.167174,0.0220548,0.0165311
496,0.163593,0.0222679,0.0187856
497,0.166346,0.022102,0.0193132
498,0.167102,0.02209,0.0206261
499,0.205733,0.0220019,0.0165756
500,0.166684,0.0228719,0.0174755
501,0.172463,0.022193,0.0184193
502,0.167259,0.0223349,0.0221941
503,0.164585,0.0227058,0.0200092
504,0.170549,0.0222003,0.0192553
505,0.167536,0.0220223,0.0212416
506,0.167433,0.0219935,0.0209369
507,0.167147,0.0222787,0.0184845
508,0.163638,0.0222709,0.0188503
509,0.163176,0.0221371,0.0201318
510,0.166555,0.0220653,0.0182885
511,0.166649,0.0221686,0.0190928
512,0.178788,0.0229587,0.0202042
513,0.168023,0.0228064,0.0199734
514,0.175669,0.0227952,0.0225686
515,0.166604,0.0221978,0.0192288
516,0.172396,0.021997,0.0171752
517,0.165693,0.0224628,0.0190297
518,0.164749,0.0220986,0.0172956
519,0.167214,0.0222619,0.0158926
520,0.164602,0.0227058,0.0188677
521,0.16884,0.0221329,0.0157278
522,0.165575,0.0223816,0.0173671
523,0.166757,0.0221598,0.0154929
524,0.168284,0.0223213,0.0197674
525,0.164849,0.022574,0.0178158
526,0.168307,0.0221883,0.0172751
527,0.164835,0.0227999,0.0184301
528,0.167687,0.0220945,0.0167541
529,0.166602,0.0227243,0.020354
530,0.170581,0.022806,0.0185512
531,0.167979,0.0219502,0.0198735
532,0.166397,0.0221309,0.0159308
533,0.201657,0.0221957,0.0192471
534,0.163962,0.0221887,0.0183027
535,0.166901,0.0220157,0.0161709
536,0.166963,0.0220015,0.0165632
537,0.168964,0.0220796,0.0172612
538,0.169243,0.0219243,0.0173867
539,0.169148,0.0220661,0.016186
540,0.167603,0.0219627,0.018581
541,0.168015,0.0222583,0.0181089
542,0.167773,0.0222953,0.0188623
543,0.167985,0.0222827,0.0195886
544,0.164424,0.0222904,0.0198396
545,0.164508,0.0222683,0.0173088
546,0.168567,0.0220523,0.016875
547,0.168321,0.0220907,0.0183035
548,0.163752,0.0223306,0.019828
549,0.168077,0.0220325,0.0173557
550,0.164689,0.0222484,0.0175152
551,0.164306,0.0229329,0.0194973
552,0.167608,0.0220342,0.0169601
553,0.164413,0.0222561,0.0189598
554,0.169105,0.0220373,0.0163631
555,0.167526,0.0221287,0.020328
556,0.164595,0.0228003,0.0191045
557,0.16903,0.022016,0.0165787
558,0.167806,0.0222251,0.0208303
559,0.166839,0.0222239,0.019852
560,0.181492,0.0222301,0.0206229
561,0.16685,0.0220567,0.017044
562,0.166734,0.0219502,0.0193505
563,0.166629,0.0220182,0.0202098
564,0.163532,0.0220172,0.0194013
565,0.16603,0.0222265,0.0194689
566,0.166325,0.0220315,0.0168983
567,0.166281,0.0220325,0.0179345
568,0.166419,0.0221769,0.0206796
569,0.163022,0.0222786,0.0192846
